index,x,y,z
0,-12.629854135598,-4.294111606719,0.839346
1,-12.65409036562,-4.294889974669,0.839346
2,-12.736951435139,-4.29484992087,0.839346
3,-12.810967783756,-4.294814142476,0.839346
4,-12.910587271829,-4.294765987908,0.839346
5,-13.043723597013,-4.294701631803,0.839346
6,-13.136360410688,-4.294656852555,0.839346
7,-13.24141443817,-4.294606071012,0.839346
8,-13.333620127994,-4.294561500164,0.839346
9,-13.417565819753,-4.294520922074,0.839346
10,-13.508092354612,-4.294477162903,0.839346
11,-13.637658457628,-4.294414532591,0.839346
12,-13.738369227658,-4.294365850513,0.839346
13,-13.78985619436,-4.294340962485,0.839346
14,-13.82373363949,-4.293534503255,0.839346
15,-13.872039010204,-4.293511153163,0.839346
16,-13.918260672107,-4.293488810304,0.839346
17,-13.967856817083,-4.297714097419,0.839346
18,-14.015421453522,-4.307072306852,0.839346
19,-14.043487622669,-4.317707880582,0.839346
